Rk,name,Tot,NBA,ABA
1,Kareem Abdul-Jabbar,19,19,0
2,Kobe Bryant,18,18,0
3,Julius Erving,16,11,5
4,LeBron James,16,16,0
5,Tim Duncan,15,15,0
6,Kevin Garnett,15,15,0
7,Shaquille O'Neal,15,15,0
8,Michael Jordan,14,14,0
9,Karl Malone,14,14,0
10,Dirk Nowitzki,14,14,0
11,Jerry West,14,14,0
12,Wilt Chamberlain,13,13,0
13,Bob Cousy,13,13,0
14,John Havlicek,13,13,0
15,Moses Malone,13,12,1
16,Dwyane Wade,13,13,0
17,Rick Barry,12,8,4
18,Larry Bird,12,12,0
19,George Gervin,12,9,3
20,Elvin Hayes,12,12,0
21,Magic Johnson,12,12,0
22,Hakeem Olajuwon,12,12,0
23,Oscar Robertson,12,12,0
24,Bill Russell,12,12,0
25,Dolph Schayes,12,12,0
26,Isiah Thomas,12,12,0
27,Charles Barkley,11,11,0
28,Elgin Baylor,11,11,0
29,Chris Bosh,11,11,0
30,Patrick Ewing,11,11,0
31,Artis Gilmore,11,6,5
32,Allen Iverson,11,11,0
33,Bob Pettit,11,11,0
34,Ray Allen,10,10,0
35,Carmelo Anthony,10,10,0
36,Paul Arizin,10,10,0
37,Clyde Drexler,10,10,0
38,Kevin Durant,10,10,0
39,Hal Greer,10,10,0
40,Jason Kidd,10,10,0
41,Chris Paul,10,10,0
42,Paul Pierce,10,10,0
43,David Robinson,10,10,0
44,John Stockton,10,10,0
45,Robert Parish,9,9,0
46,Gary Payton,9,9,0
47,Russell Westbrook,9,9,0
48,Lenny Wilkens,9,9,0
49,Dominique Wilkins,9,9,0
50,Vince Carter,8,8,0
51,Dave Cowens,8,8,0
52,Dave DeBusschere,8,8,0
53,Alex English,8,8,0
54,Larry Foust,8,8,0
55,James Harden,8,8,0
56,Dwight Howard,8,8,0
57,Bob Lanier,8,8,0
58,Yao Ming,8,8,0
59,Dikembe Mutombo,8,8,0
60,Steve Nash,8,8,0
61,Bill Sharman,8,8,0
62,LaMarcus Aldridge,7,7,0
63,Dave Bing,7,7,0
64,Louie Dampier,7,0,7
65,Mel Daniels,7,0,7
66,Anthony Davis,7,7,0
67,Walt Frazier,7,7,0
68,Harry Gallatin,7,7,0
69,Grant Hill,7,7,0
70,Dan Issel,7,1,6
71,Joe Johnson,7,7,0
72,Jerry Lucas,7,7,0
73,Ed Macauley,7,7,0
74,Slater Martin,7,7,0
75,Tracy McGrady,7,7,0
76,Dick McGuire,7,7,0
77,Kevin McHale,7,7,0
78,Alonzo Mourning,7,7,0
79,Scottie Pippen,7,7,0
80,Willis Reed,7,7,0
81,Jack Sikma,7,7,0
82,Nate Thurmond,7,7,0
83,Chet Walker,7,7,0
84,Jo Jo White,7,7,0
85,James Worthy,7,7,0
86,Tiny Archibald,6,6,0
87,Larry Costello,6,6,0
88,Stephen Curry,6,6,0
89,Adrian Dantley,6,6,0
90,Walter Davis,6,6,0
91,Joe Dumars,6,6,0
92,Pau Gasol,6,6,0
93,Paul George,6,6,0
94,Blake Griffin,6,6,0
95,Richie Guerin,6,6,0
96,Cliff Hagan,6,5,1
97,Tom Heinsohn,6,6,0
98,Bailey Howell,6,6,0
99,Lou Hudson,6,6,0
100,Kyrie Irving,6,6,0
101,Neil Johnston,6,6,0
102,Jimmy Jones,6,0,6
103,Shawn Kemp,6,6,0
104,Kyle Lowry,6,6,0
105,George McGinnis,6,3,3
106,Vern Mikkelsen,6,6,0
107,Jermaine O'Neal,6,6,0
108,Tony Parker,6,6,0
109,Mitch Richmond,6,6,0
110,Amar'e Stoudemire,6,6,0
111,Jack Twyman,6,6,0
112,George Yardley,6,6,0
113,Zelmo Beaty,5,2,3
114,Chauncey Billups,5,5,0
115,Carl Braun,5,5,0
116,Jimmy Butler,5,5,0
117,Mack Calvin,5,0,5
118,Billy Cunningham,5,4,1
119,Brad Daugherty,5,5,0
120,Wayne Embry,5,5,0
121,Donnie Freeman,5,0,5
122,Tom Gola,5,5,0
123,Gail Goodrich,5,5,0
124,Tim Hardaway,5,5,0
125,Connie Hawkins,5,4,1
126,Spencer Haywood,5,4,1
127,Al Horford,5,5,0
128,Dennis Johnson,5,5,0
129,Gus Johnson,5,5,0
130,Marques Johnson,5,5,0
131,Bobby Jones,5,4,1
132,Sam Jones,5,5,0
133,Larry Kenon,5,2,3
134,Rudy LaRusso,5,5,0
135,Damian Lillard,5,5,0
136,Kevin Love,5,5,0
137,Maurice Lucas,5,4,1
138,Pete Maravich,5,5,0
139,Bob McAdoo,5,5,0
140,Reggie Miller,5,5,0
141,Sidney Moncrief,5,5,0
142,Chris Mullin,5,5,0
143,Don Ohl,5,5,0
144,Andy Phillip,5,5,0
145,Charlie Scott,5,3,2
146,Gene Shue,5,5,0
147,Ralph Simpson,5,0,5
148,David Thompson,5,4,1
149,Klay Thompson,5,5,0
150,Rudy Tomjanovich,5,5,0
151,Wes Unseld,5,5,0
152,John Wall,5,5,0
153,Bobby Wanzer,5,5,0
154,Chris Webber,5,5,0
155,Paul Westphal,5,5,0
156,Giannis Antetokounmpo,4,4,0
157,Vin Baker,4,4,0
158,Walt Bellamy,4,4,0
159,Otis Birdsong,4,4,0
160,Rolando Blackman,4,4,0
161,Ron Boone,4,0,4
162,Roger Brown,4,0,4
163,Joe Caldwell,4,2,2
164,Tom Chambers,4,4,0
165,Maurice Cheeks,4,4,0
166,Doug Collins,4,4,0
167,DeMarcus Cousins,4,4,0
168,Bob Dandridge,4,4,0
169,Bob Davies,4,4,0
170,DeMar DeRozan,4,4,0
171,Dick Garmaker,4,4,0
172,Johnny Green,4,4,0
173,Anfernee Hardaway,4,4,0
174,Mel Hutchins,4,4,0
175,Warren Jabali,4,0,4
176,Larry Jones,4,0,4
177,Bernard King,4,4,0
178,Bill Laimbeer,4,4,0
179,Kawhi Leonard,4,4,0
180,Clyde Lovellette,4,4,0
181,Shawn Marion,4,4,0
182,George Mikan,4,4,0
183,Paul Millsap,4,4,0
184,Earl Monroe,4,4,0
185,Willie Naulls,4,4,0
186,Bob Netolicky,4,0,4
187,Jim Pollard,4,4,0
188,Mark Price,4,4,0
189,Micheal Ray Richardson,4,4,0
190,Arnie Risen,4,4,0
191,Red Robbins,4,0,4
192,Alvin Robertson,4,4,0
193,Guy Rodgers,4,4,0
194,Rajon Rondo,4,4,0
195,Ralph Sampson,4,4,0
196,Latrell Sprewell,4,4,0
197,Kemba Walker,4,4,0
198,Ben Wallace,4,4,0
199,Rasheed Wallace,4,4,0
200,Sidney Wicks,4,4,0
201,Mark Aguirre,3,3,0
202,Gilbert Arenas,3,3,0
203,John Beasley,3,0,3
204,Bill Bridges,3,3,0
205,Larry Brown,3,0,3
206,Darel Carrier,3,0,3
207,Phil Chenier,3,3,0
208,Glen Combs,3,0,3
209,Terry Dischinger,3,3,0
210,Joel Embiid,3,3,0
211,Steve Francis,3,3,0
212,Marc Gasol,3,3,0
213,Draymond Green,3,3,0
214,Richard Hamilton,3,3,0
215,Kevin Johnson,3,3,0
216,Stew Johnson,3,0,3
217,Eddie Jones,3,3,0
218,Steve Jones,3,0,3
219,Bob Kauffman,3,3,0
220,Red Kerr,3,3,0
221,Billy Knight,3,2,1
222,Freddie Lewis,3,0,3
223,Bob Love,3,3,0
224,Dan Majerle,3,3,0
225,Bill Melchionni,3,0,3
226,Doug Moe,3,0,3
227,Jeff Mullins,3,3,0
228,Larry Nance,3,3,0
229,Billy Paultz,3,0,3
230,Glen Rice,3,3,0
231,Derrick Rose,3,3,0
232,Dan Roundfield,3,3,0
233,Brandon Roy,3,3,0
234,Detlef Schrempf,3,3,0
235,Paul Seymour,3,3,0
236,Peja Stojaković,3,3,0
237,Maurice Stokes,3,3,0
238,George Thompson,3,0,3
239,Dick Van Arsdale,3,3,0
240,Tom Van Arsdale,3,3,0
241,Norm Van Lier,3,3,0
242,Antoine Walker,3,3,0
243,Jamaal Wilkes,3,3,0
244,Buck Williams,3,3,0
245,Deron Williams,3,3,0
246,Willie Wise,3,0,3
247,Marvin Barnes,2,0,2
248,Leo Barnhorst,2,2,0
249,Bradley Beal,2,2,0
250,Byron Beck,2,0,2
251,Arthur Becker,2,0,2
252,Carlos Boozer,2,2,0
253,Elton Brand,2,2,0
254,Terrell Brandon,2,2,0
255,Frankie Brian,2,2,0
256,John Brisker,2,0,2
257,Don Buse,2,1,1
258,Caron Butler,2,2,0
259,Archie Clark,2,2,0
260,Terry Cummings,2,2,0
261,Baron Davis,2,2,0
262,Warren Davis,2,0,2
263,Luol Deng,2,2,0
264,John Drew,2,2,0
265,Andre Drummond,2,2,0
266,Kevin Duckworth,2,2,0
267,Walter Dukes,2,2,0
268,Dike Eddleman,2,2,0
269,Sean Elliott,2,2,0
270,Michael Finley,2,2,0
271,Joe Fulks,2,2,0
272,Jack George,2,2,0
273,Manu Ginóbili,2,2,0
274,Roy Hibbert,2,2,0
275,Allan Houston,2,2,0
276,Hot Rod Hundley,2,2,0
277,Les Hunter,2,0,2
278,Zydrunas Ilgauskas,2,2,0
279,Antawn Jamison,2,2,0
280,Eddie Johnson,2,2,0
281,John Johnson,2,2,0
282,Larry Johnson,2,2,0
283,Nikola Jokić,2,2,0
284,Rich Jones,2,0,2
285,Don Kojis,2,2,0
286,Wendell Ladner,2,0,2
287,David Lee,2,2,0
288,Fat Lever,2,2,0
289,Mike Lewis,2,0,2
290,Rashard Lewis,2,2,0
291,Jeff Malone,2,2,0
292,Danny Manning,2,2,0
293,Stephon Marbury,2,2,0
294,Jack Marin,2,2,0
295,Khris Middleton,2,2,0
296,Brad Miller,2,2,0
297,Swen Nater,2,0,2
298,Norm Nixon,2,2,0
299,Joakim Noah,2,2,0
300,Victor Oladipo,2,2,0
301,Jim Paxson,2,2,0
302,Geoff Petrie,2,2,0
303,Terry Porter,2,2,0
304,Cincinnatus Powell,2,0,2
305,Zach Randolph,2,2,0
306,Glenn Robinson,2,2,0
307,Truck Robinson,2,2,0
308,Red Rocha,2,2,0
309,Dennis Rodman,2,2,0
310,Jeff Ruland,2,2,0
311,Fred Scolari,2,2,0
312,Kenny Sears,2,2,0
313,Frank Selvy,2,2,0
314,James Silas,2,0,2
315,Paul Silas,2,2,0
316,Ben Simmons,2,2,0
317,Jerry Sloan,2,2,0
318,Phil Smith,2,2,0
319,Randy Smith,2,2,0
320,Jerry Stackhouse,2,2,0
321,Levern Tart,2,0,2
322,Brian Taylor,2,0,2
323,Reggie Theus,2,2,0
324,Isaiah Thomas,2,2,0
325,Andrew Toney,2,2,0
326,Karl-Anthony Towns,2,2,0
327,Kelly Tripucka,2,2,0
328,Kiki Vandeweghe,2,2,0
329,Jimmy Walker,2,2,0
330,Bill Walton,2,2,0
331,Scott Wedman,2,2,0
332,David West,2,2,0
333,Charles Williams,2,0,2
334,Chuck Williams,2,0,2
335,Gus Williams,2,2,0
336,Brian Winters,2,2,0
337,Shareef Abdur-Rahim,1,1,0
338,Alvan Adams,1,1,0
339,Michael Adams,1,1,0
340,Bam Adebayo,1,1,0
341,Danny Ainge,1,1,0
342,Kenny Anderson,1,1,0
343,B.J. Armstrong,1,1,0
344,Don Barksdale,1,1,0
345,Dick Barnett,1,1,0
346,Dana Barros,1,1,0
347,Butch Beard,1,1,0
348,Ralph Beard,1,1,0
349,Mookie Blaylock,1,1,0
350,John Block,1,1,0
351,Devin Booker,1,1,0
352,Bob Boozer,1,1,0
353,Vince Boryla,1,1,0
354,Bill Bradley,1,1,0
355,Fred Brown,1,1,0
356,Roger Brown,1,0,1
357,Larry Bunce,1,0,1
358,Andrew Bynum,1,1,0
359,Austin Carr,1,1,0
360,Joe Barry Carroll,1,1,0
361,George Carter,1,0,1
362,Bill Cartwright,1,1,0
363,Sam Cassell,1,1,0
364,Cedric Ceballos,1,1,0
365,Tyson Chandler,1,1,0
366,Len Chappell,1,1,0
367,Nat Clifton,1,1,0
368,Derrick Coleman,1,1,0
369,Jack Coleman,1,1,0
370,Antonio Davis,1,1,0
371,Dale Davis,1,1,0
372,Vlade Divac,1,1,0
373,James Donaldson,1,1,0
374,Luka Dončić,1,1,0
375,Goran Dragić,1,1,0
376,Jim Eakins,1,0,1
377,Mark Eaton,1,1,0
378,Dale Ellis,1,1,0
379,Ray Felix,1,1,0
380,Sleepy Floyd,1,1,0
381,Jimmy Foster,1,0,1
382,World B. Free,1,1,0
383,Bill Gabor,1,1,0
384,Chris Gatling,1,1,0
385,Gus Gerard,1,0,1
386,Rudy Gobert,1,1,0
387,Gerald Govan,1,0,1
388,Danny Granger,1,1,0
389,Horace Grant,1,1,0
390,A.C. Green,1,1,0
391,Mike Green,1,0,1
392,Rickey Green,1,1,0
393,Alex Groza,1,1,0
394,Tom Gugliotta,1,1,0
395,Devin Harris,1,1,0
396,Bob Harrison,1,1,0
397,Hersey Hawkins,1,1,0
398,Gordon Hayward,1,1,0
399,Walt Hazzard,1,1,0
400,Wayne Hightower,1,0,1
401,Tyrone Hill,1,1,0
402,Jrue Holiday,1,1,0
403,Lionel Hollins,1,1,0
404,Jeff Hornacek,1,1,0
405,Josh Howard,1,1,0
406,Juwan Howard,1,1,0
407,Andre Iguodala,1,1,0
408,Darrall Imhoff,1,1,0
409,Brandon Ingram,1,1,0
410,Luke Jackson,1,1,0
411,Mark Jackson,1,1,0
412,Mervin Jackson,1,0,1
413,Tony Jackson,1,0,1
414,Neil Johnson,1,0,1
415,Steve Johnson,1,1,0
416,Caldwell Jones,1,0,1
417,Wil Jones,1,0,1
418,DeAndre Jordan,1,1,0
419,Chris Kaman,1,1,0
420,Julius Keye,1,0,1
421,Jim King,1,1,0
422,Andrei Kirilenko,1,1,0
423,Kyle Korver,1,1,0
424,Sam Lacey,1,1,0
425,Christian Laettner,1,1,0
426,Clyde Lee,1,1,0
427,Reggie Lewis,1,1,0
428,Goose Ligon,1,0,1
429,Brook Lopez,1,1,0
430,Jamaal Magloire,1,1,0
431,Randolph Mahaffey,1,0,1
432,Kenyon Martin,1,1,0
433,Jamal Mashburn,1,1,0
434,Anthony Mason,1,1,0
435,Ted McClain,1,0,1
436,Xavier McDaniel,1,1,0
437,Jim McDaniels,1,0,1
438,Antonio McDyess,1,1,0
439,Jon McGlocklin,1,1,0
440,Dewitt Menyard,1,0,1
441,Tom Meschery,1,1,0
442,Eddie Miles,1,1,0
443,Donovan Mitchell,1,1,0
444,Mike Mitchell,1,1,0
445,Steve Mix,1,1,0
446,Jack Molinas,1,1,0
447,Gene Moore,1,0,1
448,Calvin Murphy,1,1,0
449,Calvin Natt,1,1,0
450,Jameer Nelson,1,1,0
451,Chuck Noble,1,1,0
452,Charles Oakley,1,1,0
453,Mehmet Okur,1,1,0
454,Ricky Pierce,1,1,0
455,Kristaps Porziņģis,1,1,0
456,Jim Price,1,1,0
457,Theo Ratliff,1,1,0
458,Michael Redd,1,1,0
459,Richie Regan,1,1,0
460,Doc Rivers,1,1,0
461,Clifford Robinson,1,1,0
462,Flynn Robinson,1,1,0
463,Curtis Rowe,1,1,0
464,Bob Rule,1,1,0
465,Campy Russell,1,1,0
466,Cazzie Russell,1,1,0
467,D'Angelo Russell,1,1,0
468,Domantas Sabonis,1,1,0
469,Woody Sauldsberry,1,1,0
470,Fred Schaus,1,1,0
471,Lee Shaffer,1,1,0
472,Lonnie Shelton,1,1,0
473,Pascal Siakam,1,1,0
474,Walter Simon,1,0,1
475,Adrian Smith,1,1,0
476,Steve Smith,1,1,0
477,Rik Smits,1,1,0
478,Willie Somerset,1,0,1
479,John Starks,1,1,0
480,Don Sunderlage,1,1,0
481,Wally Szczerbiak,1,1,0
482,Jayson Tatum,1,1,0
483,Jeff Teague,1,1,0
484,Claude Terry,1,0,1
485,Skip Thoren,1,0,1
486,Otis Thorpe,1,1,0
487,Monte Towe,1,0,1
488,Dave Twardzik,1,0,1
489,Nick Van Exel,1,1,0
490,Chico Vaughn,1,0,1
491,Bob Verga,1,0,1
492,Nikola Vučević,1,1,0
493,Gerald Wallace,1,1,0
494,Paul Walther,1,1,0
495,Ben Warley,1,0,1
496,Kermit Washington,1,1,0
497,Trooper Washington,1,0,1
498,Jayson Williams,1,1,0
499,Mo Williams,1,1,0
500,Kevin Willis,1,1,0
501,Metta World Peace,1,1,0
502,Trae Young,1,1,0
503,Max Zaslofsky,1,1,0